Sample,latitude,longitude,elev_m,max_depth_cm,slope_perc,Horizon,landform,Mapped.Lithologic.unit,Parent.Material,bulk.density.vol.cm3,bulk.density.g.cm3,pH,soilmoisture_perc,TC_perc,OC_perc,Nitrogen_ppm,TN_perc,TC_perc_2
HLEF-19-105,58.37764,-134.54618,250,9,65,E,backslope,Taku,Slate or Phyllite - Colluvium,138.5,0.47,,,,,,,
HLEF-19-106,58.37764,-134.54618,250,15,65,Bs,backslope,Taku,Slate or Phyllite - Colluvium,138.5,0.51,,,,,,,
HLEF-19-107,58.37764,-134.54618,250,15,65,Bs,backslope,Taku,Slate or Phyllite - Colluvium,138.5,0.35,,,,,,,
HLEF-19-108,58.37764,-134.54618,250,48,65,2 B/C,backslope,Taku,Slate or Phyllite - Colluvium,138.5,0.56,,,,,,,
HLEF-19-109,58.37764,-134.54618,250,48,65,2 B/C,backslope,Taku,Slate or Phyllite - Colluvium,138.5,0.47,,,,,,,
HLEF-19-110,58.37764,-134.54618,250,87,65,3 B/C,backslope,Taku,Slate or Phyllite - Colluvium,138.5,0.66,,,,,,,
HLEF-19-111,58.37764,-134.54618,250,87,65,3 B/C,backslope,Taku,Slate or Phyllite - Colluvium,138.5,0.55,,,,,,0.048,0.35
HLEF-19-112,58.37823,-134.54806,300,5,65,Oe,backslope,Taku,Slate or Phyllite - Colluvium,,,3.82,,,,,,
HLEF-19-113,58.37823,-134.54806,300,15,65,Oi,backslope,Taku,Slate or Phyllite - Colluvium,125,0.2,3.5,,,,,,
HLEF-19-114,58.37823,-134.54806,300,23,65,E,backslope,Taku,Slate or Phyllite - Colluvium,138.5,0.31,3.98,,,,,0.304,7.172
HLEF-19-115,58.37823,-134.54806,300,28,65,Bh,backslope,Taku,Slate or Phyllite - Colluvium,138.5,0.33,4.09,,,,,0.409,10.254
HLEF-19-116,58.37823,-134.54806,300,54,65,Bhs/Bs,backslope,Taku,Slate or Phyllite - Colluvium,138.5,0.37,4.65,,,,,0.215,6.583
HLEF-19-117,58.37823,-134.54806,300,60,65,2E,backslope,Taku,Slate or Phyllite - Colluvium,,,4.78,,,,,0.128,3.4
